FONTES,IDENTIFICAÇÃO,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO,GÁS NATURAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52934,0.0,0.0,0.0,0.0,4.44284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.82000000000002,881.2636792321427,641.8365761904763,881.5187123809524,905.6286523809524,911.6532717619048,921.3982732309523,1010.9744801904762,934.1452090476191,846.5949617142857,897.8776417142858,958.9290417142856
PERDAS,GÁS NATURAL,-5.68673190606404,-3.5155146115830576,-10.904202758482825,-13.743840054780748,-15.235608183148003,-6.347830857506381,-13.042735606722772,-26.242329773063744,-22.691696860595016,-6.632325388235273,-4.932391740540595,-2.867200146175719,-3.091350754436405,-36.02441869956698,-7.497443405306569,-86.03470631333562,-8.23485319950123,-45.94883386202207,-40.25056344257189,-95.2554802285955,-58.78195075621841,-116.3248999239047,-9.6490663829793,-5.68673190606404,-45.20470182441704,-29.09851852046944,-73.79547597838194,-23.25252139183101,-33.29064891282121,-115.87361960000021,-453.48197040000025,-381.72977999999966,-2.296000000000504,-50.44649999999967,-212.6908559999988,-257.58693170782817,-21.647899999999254,-29.280999999999267,-174.95808462317018,-95.39773714970374,-29.52061040000126,-170.24166194572013,-190.0762000919999,-185.02143125400198,-198.31798264500003,-208.25143519500034,-200.20527907200085,-238.86801560700087,-423.6135448860009,-227.62277452800163,-252.1219791708013
CONSUMO DE COMBUSTÍVEIS,CENTRAIS ELÉTRICAS,-1863.110129514405,-2261.6026702709705,-1829.8493088680525,-2006.1856728281791,-1781.4735556883952,-1830.355152203882,-1789.1994113184548,-2049.4737285294445,-2707.319638905633,-2634.185763222529,-2644.1967134409297,-3013.492236318906,-2742.891939739946,-2608.096996270756,-3617.8960944417076,-3948.412084555487,-5057.1515032228235,-4744.412992284187,-4312.014409352078,-4318.478541512701,-4220.750732757837,-4417.0148959331655,-4909.813526881507,-4492.090301766182,-4415.052915924237,-5885.237936814985,-6483.202010232193,-7469.442547241706,-8241.828090141978,-10707.466699869852,-11391.640331697705,-15061.493728164998,-13933.44741562485,-13613.680948998846,-15237.487978765934,-15133.64412835431,-16275.312676994308,-15927.58853380146,-20194.208841561885,-16279.589066050812,-23346.35761784461,-21549.853946891184,-27897.886529132364,-36249.421803529345,-43000.86148302002,-41816.740472829115,-33937.35734856076,-35659.58181027812,-32774.24491971276,-33605.0424687935,-31844.5802004589
NÃO RENOVÁVEIS,CENTRAIS ELÉTRICAS,-1740.225214743696,-2119.012692828137,-1672.1961957524302,-1850.1880762229987,-1615.3816123198928,-1648.8013957331577,-1606.3272014433433,-1804.9427736942312,-2428.973884211637,-2284.7979829467627,-2276.6431046195466,-2608.6487981802197,-2276.112118760737,-2008.6616438224492,-3017.4044350598933,-3271.5860016914753,-4349.809245631216,-3946.6813355230825,-3563.990647931795,-3588.2168319183425,-3421.0015172514377,-3521.8113649911647,-3953.376488218499,-3502.0733061096166,-3349.5927383400535,-4771.813317371178,-5140.0332974429175,-6006.619570761808,-6748.741513001006,-9048.780073347378,-9829.64639142355,-13284.819447616494,-11914.108524200828,-11240.616433550073,-12753.940981092159,-12377.81722638429,-13401.80815301851,-12654.066832213146,-16580.458258220955,-11868.457345118342,-17445.81548470835,-15585.480638688316,-21386.827473393816,-28817.061859582416,-34432.743426830544,-32787.91859789168,-24774.405628183296,-26160.179896333953,-23019.201593097794,-23804.386660107233,-21379.074758373365
GÁS NATURAL,CENTRAIS ELÉTRICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9852056,-69.482196,-75.649728,-82.27307760000001,-154.733082,-157.8238452,-157.45699199999999,-187.36502399999998,-234.02776133703716,-258.5173931268293,-340.72349996487804,-591.5521029911091,-896.2111031609303,-2092.7900409424624,-2682.7172291591414,-2591.5251463684062,-4106.7463351624665,-4022.4370146723004,-3719.764198511166,-3152.484235973863,-5721.6007675713045,-2619.8863993506493,-6995.65135843675,-5228.302822467331,-9053.738948274553,-13893.389707257462,-16799.85408506089,-16410.75156652907,-11402.64136723832,-13115.003806352901,-10941.810327624418,-11655.833035604737,-10812.198095867858
CARVÃO VAPOR,CENTRAIS ELÉTRICAS,-495.216834,-519.39216,-552.164046,-487.4399460000001,-466.66326000000004,-451.2744180000001,-444.39278786518037,-569.1628598651803,-963.5255907472131,-808.1235465786885,-707.9987665449835,-964.709654848328,-934.2069378314754,-721.8255983800146,-828.1377785700221,-989.0435617284688,-1275.5452184278704,-1037.7808459018647,-809.7075953758588,-1091.3011771019162,-962.0500260000001,-1134.051198,-1129.7766241680054,-1032.007956785863,-1099.8798720000002,-1306.4322180000001,-1334.9957880000002,-1587.9645600000001,-1502.0089560000001,-2283.0854004,-2309.9176632,-2290.6783620000006,-1518.0242642839505,-1577.8742402556054,-1770.7398643497263,-1889.7895159294999,-2104.7209424999996,-1931.2345723339433,-1884.9284584812838,-1523.0903640000001,-1905.3820699512887,-1750.0905711048608,-2341.346389027607,-3724.0796843129865,-4343.662318643381,-4455.147512734903,-4211.785575413272,-3810.327313340872,-3339.9907106284077,-3626.3715461463757,-2818.507408915976
ÓLEO DIESEL,CENTRAIS ELÉTRICAS,-192.93937857999026,-168.875709771596,-183.47047110924973,-186.97212200476557,-190.59659149096018,-203.37761622922795,-164.84330366638054,-152.83102683384126,-187.17275595066621,-290.03199729650896,-369.4458536534443,-465.6651610708868,-337.5938474455838,-359.26632075882696,-358.2773918371587,-418.15849833399517,-569.9944850799627,-922.0058879649076,-924.8135065921576,-653.3726503347677,-571.3776120000001,-572.0413314976744,-711.4445107461373,-627.8356770478127,-663.8540825367669,-943.824096789642,-890.8765320001783,-1199.522967100369,-1484.2754240513923,-1929.3380584249849,-1504.7015226037738,-1660.5034459999329,-1293.1284468375231,-1600.1073144475922,-1837.1556184308743,-1895.3051182586196,-1617.0959675273455,-1431.7631443386053,-1831.0795248097334,-1646.1584425180545,-2066.895633237366,-1994.6471193152718,-2532.3359727606103,-2528.5315962574255,-3120.059508909442,-2280.178088437154,-1140.7093260485203,-956.3382996484165,-1091.4973141158387,-1274.4922999360278,-1239.7234206568478
ÓLEO COMBUSTÍVEL,CENTRAIS ELÉTRICAS,-982.5466544478613,-1364.2657979328915,-864.0802525591469,-1110.0082994147117,-890.7830797052832,-928.6631410205364,-907.9871359878127,-998.9800625118162,-1191.0164287102368,-1066.6400380685047,-1030.1609206196204,-917.5198386074544,-692.0819030107702,-658.1671876105186,-543.6149470930287,-621.8320673216695,-2121.5138809220116,-1326.4836354297458,-1210.2089287920057,-919.5423645371746,-704.746560951437,-767.9448368934904,-837.2798820821341,-782.6222972086166,-835.3025075334447,-854.4442914704239,-1263.587374613638,-1190.0831849631802,-1222.9727214275924,-1923.6021414376319,-2073.1716972842432,-2134.565234197906,-1376.266327989045,-658.2291913875598,-602.4855727998197,-696.771882107619,-936.4635,-1245.42580708763,-1484.3086267873045,-1140.4396493506492,-1128.3599356967973,-733.4313982021038,-1346.1712189795385,-2287.3507532785798,-3624.785715720973,-3311.729366039934,-1359.2366073981216,-1617.5975696956964,-973.1358551662387,-468.22892515090854,-488.31087701984785
GÁS DE COQUERIA,CENTRAIS ELÉTRICAS,-9.456215999999996,-9.456215999999996,-9.456215999999996,-10.745699999999998,-10.315871999999997,-12.465011999999998,-27.079163999999995,-30.947615999999986,-32.2371,-36.105551999999996,-37.395036,-47.710907999999996,-51.57935999999999,-61.035576,-118.632528,-113.90441999999997,-104.87803199999999,-71.78127599999999,-87.25508400000001,-113.044764,-94.56215999999999,-116.91321599999999,-158.176704,-166.343436,-81.237492,-78.228696,-96.7113,-90.26388,-121.211496,-185.255868,-167.63291999999998,-180.52776,-188.34,-131.57999999999998,-141.28446933333333,-138.8352823230203,-131.15,-234.09199999999998,-526.6494292279446,-330.72733333333326,-304.15723594846696,-300.79859835222356,-264.8109253725659,-254.71223473186527,-338.8858226068002,-245.48920323987994,-260.73689550749236,-372.71035925953277,-351.956141518516,-340.78692360458166,-326.3994191594968
OUTRAS SECUNDÁRIAS,CENTRAIS ELÉTRICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8636357177464343,-2.590907153239303,-30.97040652189808,-49.56563669939797,-12.288529700540009,-12.288529700540009,-7.936257585508434,-8.838370399706271,-29.496057599559414,-55.24594463925686,-52.834434959295066,-48.699144000000004,-52.09332,-236.62553400000002,-197.267966,-197.41953,-214.12023300000004,-252.41693600000002,-253.56075600000003,-256.85502,-310.620216,-345.443202,-380.374914,-361.031029,-342.28437699999995,-372.03225617466956,-290.3128027663531,-343.31482,-384.8135633508175,-598.5100864945819,-370.8511111111111,-476.14497306435993,-450.4346765704348,-585.2917042041079,-754.9532244206603,-619.0488612565346,-629.8738463998737,-536.7724893672197,-527.6028438367176,-549.2118208890054,-562.8029199167935,-534.5088009267172
